OrderID,SalesDate,ProductID,CustomerID,PersonnelID,SalesChannel,PaymentMode,StoreID,Quantity
1,1/1/2023,111,RH-19495,56,In-store,Cash,7,5
2,1/1/2023,151,JR-16210,55,Online,Mobile Payment,6,5
3,1/1/2023,31,CR-12730,26,In-store,Cash,3,8
4,1/1/2023,65,KM-16375,46,Online,Credit Card,3,2
5,1/1/2023,122,RH-9495,95,Online,Credit Card,6,5
6,1/1/2023,179,JM-15655,9,Online,Mobile Payment,2,1
7,1/1/2023,202,TS-21340,47,Online,Debit Card,5,8
8,1/1/2023,174,MB-18085,58,Online,Mobile Payment,1,6
9,1/1/2023,111,JW-15220,75,In-store,Cash,2,7
10,1/1/2023,99,JH-15985,22,Online,Credit Card,2,6
11,1/1/2023,57,AJ-10780,76,In-store,Credit Card,1,5
12,1/1/2023,38,MM-7260,88,In-store,Credit Card,6,7
13,1/1/2023,147,VF-21715,8,Online,Cash,7,5
14,1/1/2023,76,PF-19120,82,Online,Credit Card,4,6
15,1/1/2023,87,BP-11185,91,Online,Credit Card,5,8
16,1/1/2023,121,TB-21175,53,Online,Credit Card,5,3
17,1/1/2023,94,PJ-18835,72,Online,Cash,5,5
18,1/1/2023,178,JS-15685,50,Online,Cash,1,7
19,1/1/2023,4,RH-9555,31,Online,Credit Card,7,2
20,1/1/2023,134,AB-600,74,In-store,Cash,6,2
21,1/1/2023,165,SA-20830,98,In-store,Credit Card,6,8
22,1/1/2023,83,JK-15325,58,Online,Cash,1,8
23,1/1/2023,82,LB-16795,71,In-store,Cash,2,7
24,1/1/2023,178,NP-18325,59,In-store,Debit Card,4,2
25,1/1/2023,128,VD-21670,37,In-store,Mobile Payment,4,9
26,1/1/2023,155,PB-19210,64,Online,Cash,3,9
27,1/1/2023,45,KF-16285,43,Online,Cash,6,1
28,1/1/2023,137,BP-11230,94,In-store,Debit Card,4,1
29,1/1/2023,124,RR-19525,50,In-store,Cash,1,6
30,1/1/2023,146,BS-11365,61,Online,Mobile Payment,5,5
31,1/1/2023,127,JE-15745,84,In-store,Cash,6,5
32,1/1/2023,117,DP-13105,19,Online,Cash,5,2
33,1/1/2023,6,NP-18700,14,In-store,Debit Card,5,9
34,1/1/2023,81,AH-30,5,Online,Mobile Payment,6,9
35,1/1/2023,27,DM-13015,25,Online,Debit Card,7,4
36,1/1/2023,185,GT-14635,98,In-store,Mobile Payment,6,6
37,1/1/2023,74,PO-18865,87,In-store,Debit Card,4,5
38,1/1/2023,53,JB-16000,91,In-store,Cash,5,1
39,1/1/2023,59,BF-11005,61,Online,Mobile Payment,5,7
40,1/1/2023,189,VG-21805,57,In-store,Cash,5,3
41,1/1/2023,124,GT-14710,59,Online,Cash,4,5
42,1/1/2023,138,ZC-21910,86,In-store,Credit Card,5,8
43,1/1/2023,179,SC-20095,77,In-store,Debit Card,4,8
44,1/1/2023,84,EB-13840,56,In-store,Mobile Payment,7,7
45,1/1/2023,194,AP-10915,57,In-store,Debit Card,5,4
46,1/1/2023,174,SW-20275,49,Online,Debit Card,4,5
47,1/1/2023,127,JH-15820,9,In-store,Cash,2,9
48,1/1/2023,191,LC-16885,11,Online,Cash,3,5
49,1/1/2023,61,TG-11640,77,In-store,Credit Card,4,7
50,1/1/2023,10,HR-14830,82,In-store,Credit Card,4,1
51,1/1/2023,209,PB-19210,61,Online,Cash,5,8
52,1/1/2023,154,DG-3300,61,In-store,Credit Card,5,2
53,1/1/2023,143,SG-20470,41,In-store,Debit Card,4,3
54,1/1/2023,207,FH-14365,46,In-store,Credit Card,3,7
55,1/1/2023,165,GP-14740,72,In-store,Mobile Payment,5,1
56,1/1/2023,123,MW-18220,15,Online,Mobile Payment,5,4
57,1/1/2023,87,PO-18850,10,Online,Cash,7,5
58,1/1/2023,11,CS-12460,64,In-store,Mobile Payment,3,2
59,1/1/2023,75,KD-16495,61,Online,Debit Card,5,5
60,1/1/2023,132,MS-17980,57,Online,Credit Card,5,7
61,1/1/2023,35,KC-16675,46,In-store,Credit Card,3,5
62,1/1/2023,75,DB-13405,96,In-store,Debit Card,4,9
63,1/1/2023,59,JD-15895,56,Online,Debit Card,7,4
64,1/1/2023,23,DK-13090,46,In-store,Debit Card,3,1
65,1/1/2023,177,CS-11845,91,Online,Cash,5,1
66,1/1/2023,34,EM-14200,52,In-store,Mobile Payment,4,7
67,1/1/2023,99,DW-3480,48,Online,Debit Card,7,3
68,1/1/2023,72,AS-10225,43,Online,Credit Card,6,4
69,1/1/2023,102,ST-20530,84,In-store,Credit Card,6,9
70,1/1/2023,90,BW-1065,69,Online,Debit Card,6,2
71,1/1/2023,208,LA-16780,71,In-store,Mobile Payment,2,2
72,1/1/2023,42,AB-10150,56,Online,Debit Card,7,2
73,1/1/2023,201,JH-15820,15,Online,Cash,5,1
74,1/1/2023,210,CM-12385,49,Online,Cash,4,3
75,1/1/2023,89,BE-11410,93,Online,Mobile Payment,5,9
76,1/1/2023,130,SZ-20035,8,In-store,Mobile Payment,7,7
77,1/1/2023,56,RM-19375,39,Online,Credit Card,6,3
78,1/1/2023,160,HG-14845,26,Online,Mobile Payment,3,7
79,1/1/2023,107,DP-3105,81,Online,Mobile Payment,4,2
80,1/1/2023,99,AR-10540,96,Online,Mobile Payment,4,7
81,1/1/2023,21,TP-21415,96,In-store,Debit Card,4,9
82,1/1/2023,37,JB-16000,93,In-store,Credit Card,5,5
83,1/1/2023,72,AM-10705,41,Online,Credit Card,4,5
84,1/1/2023,198,AB-255,67,In-store,Debit Card,4,1
85,1/1/2023,37,RP-19270,82,In-store,Debit Card,4,7
86,1/1/2023,14,BK-11260,71,Online,Cash,2,3
87,1/1/2023,102,JM-15250,61,Online,Mobile Payment,5,2
88,1/1/2023,136,GP-14740,58,Online,Cash,1,5
89,1/1/2023,121,LW-16990,84,Online,Mobile Payment,6,9
90,1/1/2023,90,NZ-18565,19,Online,Debit Card,5,1
91,1/1/2023,82,SV-10815,56,Online,Credit Card,7,3
92,1/1/2023,161,SC-20695,77,Online,Credit Card,4,7
93,1/1/2023,148,NC-18625,98,Online,Debit Card,6,3
94,1/1/2023,105,NF-18385,18,In-store,Cash,5,9
95,1/1/2023,201,NZ-18565,61,In-store,Cash,5,3
96,1/1/2023,188,PM-18940,50,Online,Debit Card,1,8
97,1/1/2023,91,MZ-17335,94,In-store,Cash,4,3
98,1/1/2023,114,HM-4980,8,In-store,Debit Card,7,3
99,1/1/2023,222,RW-19540,13,Online,Debit Card,6,4
100,1/1/2023,167,LH-17155,36,Online,Cash,4,1
101,1/1/2023,202,FH-14365,4,In-store,Debit Card,1,8
102,1/1/2023,100,KM-16660,94,In-store,Credit Card,4,6
103,1/1/2023,100,PO-18865,40,In-store,Debit Card,2,5
104,1/1/2023,183,AB-10060,20,Online,Mobile Payment,7,3
105,1/1/2023,196,AB-10060,10,In-store,Debit Card,7,4
106,1/1/2023,116,DB-13060,79,Online,Debit Card,5,2
107,1/1/2023,171,VM-21685,52,Online,Credit Card,4,4
108,1/1/2023,138,BS-11365,22,Online,Mobile Payment,2,6
109,1/1/2023,131,DM-13525,64,Online,Credit Card,3,3
110,1/1/2023,213,NM-18520,76,In-store,Cash,1,2
111,1/1/2023,73,LC-16885,67,In-store,Debit Card,4,1
112,1/1/2023,25,SB-20185,43,Online,Credit Card,6,3
113,1/1/2023,57,EM-14065,82,Online,Credit Card,4,6
114,1/1/2023,37,RS-19765,58,Online,Mobile Payment,1,5
115,1/1/2023,46,VS-21820,27,In-store,Cash,4,9
116,1/1/2023,136,CM-12115,97,Online,Cash,5,8
117,1/1/2023,88,TB-21400,42,In-store,Mobile Payment,7,5
118,1/1/2023,70,AB-10105,44,In-store,Debit Card,3,2
119,1/1/2023,198,JK-15325,96,In-store,Mobile Payment,4,3
120,1/1/2023,181,RP-19270,58,Online,Cash,1,5
121,1/1/2023,205,DW-13540,14,In-store,Credit Card,5,1
122,1/1/2023,62,PS-19045,66,In-store,Debit Card,2,1
123,1/1/2023,144,CC-12370,86,Online,Mobile Payment,5,5
124,1/1/2023,111,TC-21295,43,In-store,Mobile Payment,6,6
125,1/1/2023,13,GM-14440,61,In-store,Debit Card,5,3
126,1/1/2023,140,SV-20815,86,In-store,Debit Card,5,1
127,1/1/2023,112,MM-17920,13,Online,Credit Card,6,3
128,1/1/2023,156,JK-16120,97,In-store,Cash,5,3
129,1/1/2023,35,EM-14200,47,Online,Mobile Payment,5,1
130,1/1/2023,9,DJ-13510,15,Online,Mobile Payment,5,8
131,1/1/2023,220,PM-18940,50,In-store,Debit Card,1,7
132,1/1/2023,196,AT-10435,80,Online,Credit Card,4,6
133,1/1/2023,8,AB-10015,39,Online,Debit Card,6,3
134,1/1/2023,34,RP-19390,1,In-store,Cash,5,7
135,1/1/2023,181,MJ-17740,5,Online,Mobile Payment,6,7
136,1/1/2023,133,PV-18985,2,In-store,Cash,3,6
137,1/1/2023,37,SB-20290,11,Online,Cash,3,3
138,1/1/2023,212,SM-10005,53,Online,Mobile Payment,5,7
139,1/1/2023,112,KF-16285,94,In-store,Debit Card,4,2
140,1/1/2023,15,KH-16330,51,Online,Credit Card,4,4
141,1/1/2023,82,MP-18175,75,Online,Mobile Payment,2,3
